Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
elements,IN,3,6,271,48.22,27.1K,50,corporativo.elements.com.br/,Sep 13
cadeira elements,CN,4,7,96,17.08,12.1K,36,corporativo.elements.com.br/collections/cadeiras,3 days
elements astra pro,IT,4,5,26,4.62,1.9K,36,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 21
elements cadeiras,N,4,6,24,4.27,2.4K,37,corporativo.elements.com.br/collections/cadeiras,Aug 21
astra pro,C,8,7,22,3.91,1K,25,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 25
elements cadeira,CN,7,7,14,2.49,8.1K,51,corporativo.elements.com.br/collections/cadeiras,3 days
cadeiras elements,NT,3,6,10,1.77,1K,29,corporativo.elements.com.br/collections/cadeiras,Aug 24
elements,IN,20,6,8,1.42,27.1K,50,corporativo.elements.com.br/collections/cadeiras,Sep 13
cadeira elements,CN,14,7,7,1.24,12.1K,36,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,3 days
cadeira elements,CN,15,7,7,1.24,12.1K,36,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,3 days
elements brasil,N,8,6,6,1.06,1K,46,corporativo.elements.com.br/collections/cadeiras,Aug 24
elementes,N,4,6,5,0.88,590,45,corporativo.elements.com.br/,Sep 01
cadeira elements astra pro,C,5,7,4,0.71,590,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 13
elements cadeira,CN,13,7,4,0.71,8.1K,51,corporativo.elements.com.br/collections/cadeiras-fixas,3 days
elements astra pro:,IT,4,6,4,0.71,320,28,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 10
elements astra,I,10,8,3,0.53,4.4K,39,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 15
astra pro elements,I,4,7,3,0.53,260,35,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 07
cadeira elements,CN,20,7,3,0.53,12.1K,36,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,3 days
loja elements,N,4,5,3,0.53,320,38,corporativo.elements.com.br/collections/cadeiras,Sep 02
elements br,NT,5,6,3,0.53,390,47,corporativo.elements.com.br/,Aug 11
elemntes,NT,2,7,2,0.35,110,41,corporativo.elements.com.br/,Sep 04
elements mesa,IT,3,6,2,0.35,140,16,corporativo.elements.com.br/collections/ver-todas-as-mesas,Aug 03
elements sarin,I,3,7,2,0.35,140,20,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Sep 05
elemnts,N,7,5,2,0.35,390,61,corporativo.elements.com.br/,Aug 29
cadeira ergonômica elements astra pro preta,C,2,6,2,0.35,90,21,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 01
elements cadeira,CN,16,7,2,0.35,8.1K,51,corporativo.elements.com.br/collections/linha-essencial,3 days
elements cadeira,CN,22,7,2,0.35,8.1K,51,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,3 days
astrapro,I,4,8,2,0.35,90,27,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 28
cadeira elemnts,NT,4,7,2,0.35,260,32,corporativo.elements.com.br/collections/cadeiras,Aug 25
astra elements,I,10,8,2,0.35,3.6K,34,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 14
elements astra,I,15,8,1,0.17,4.4K,39,corporativo.elements.com.br/products/cadeira-ergonomica-elements-astra,Sep 15
elements astra,I,19,8,1,0.17,4.4K,39,corporativo.elements.com.br/products/cadeira-ergonomica-elements-astra,Sep 15
elements,IN,41,6,1,0.17,27.1K,50,corporativo.elements.com.br/collections/all,Sep 13
calaena elements,CI,4,7,1,0.17,110,31,corporativo.elements.com.br/products/cadeira-ergonomica-elements-calaena,1 day
elements siggy,IT,,8,1,0.17,1.3K,34,corporativo.elements.com.br/products/cadeira-ergonomica-elements-siggy,Aug 23
centro de tecnologia elements,N,4,6,1,0.17,110,23,corporativo.elements.com.br/,Aug 14
cadeira elements,CN,26,7,1,0.17,12.1K,36,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,3 days
element mesa,N,4,6,1,0.17,110,27,corporativo.elements.com.br/collections/ver-todas-as-mesas,Aug 28
elementts,IN,3,7,1,0.17,90,55,corporativo.elements.com.br/,4 days
elements cadeira,CN,26,7,1,0.17,8.1K,51,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas?page=2,3 days
elements astra pro cadeira,IT,5,8,1,0.17,170,34,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,4 days
elemenys,N,3,7,1,0.17,110,51,corporativo.elements.com.br/,Sep 12
loja elements,N,8,5,1,0.17,320,38,corporativo.elements.com.br/,Sep 02
elements br,NT,9,6,1,0.17,390,47,corporativo.elements.com.br/collections/cadeiras,Aug 11
elements.,N,3,6,1,0.17,110,48,corporativo.elements.com.br/,Sep 13
