Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
sensetup,N,1,7,3.5K,11.41,4.4K,42,sensetup.com.br/,1 day
cadeira ergonomica,CI,5,7,2.6K,8.55,110K,32,sensetup.com.br/collections/cadeiras-ergonomicas,Sep 14
sensetup a08,I,1,7,1.5K,4.92,1.9K,37,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 09
sensetup cosy 03,I,1,7,1.3K,4.14,1.6K,22,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Sep 12
sensetup cosy t03,C,1,7,1.3K,4.14,1.6K,28,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 20
cosy t03,CI,1,8,871,2.82,6.6K,32,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,2 days
cozy t03,I,1,7,719,2.33,2.9K,29,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Jul 28
ergonômica,I,1,6,580,1.88,4.4K,27,sensetup.com.br/collections/cadeiras-ergonomicas,3 days
cadeira ergonomica,CI,,7,572,1.85,110K,32,sensetup.com.br/collections/cadeiras-ergonomicas,Sep 14
cadeira ergonomica escritório,I,3,7,532,1.72,12.1K,33,sensetup.com.br/collections/cadeiras-ergonomicas,Sep 13
mesa com regulagem de altura,I,,8,492,1.59,8.1K,23,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Sep 13
sensetup perfs e5,I,1,6,472,1.53,590,23,sensetup.com.br/products/cadeira-presidente-ergonomica-perfs-e5,Sep 12
cadeira cosy t03,CI,1,6,471,1.52,1.9K,31,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 22
cosy t03,CI,,8,401,1.30,6.6K,32,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,2 days
cadeira sensetup,CN,1,7,384,1.24,480,37,sensetup.com.br/,Sep 09
cadeira sensetup cosy t03,CI,1,6,312,1.01,390,30,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 17
mesa com regulagem de altura,I,2,8,283,0.91,8.1K,23,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Sep 13
mesa regulagem de altura,CI,,8,281,0.91,8.1K,18,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Sep 15
cadeira sensetup a08,T,1,8,256,0.82,320,31,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 15
ergonomica,I,1,7,250,0.81,1.9K,21,sensetup.com.br/collections/cadeiras-ergonomicas,Aug 24
cadeira cozy t03,C,1,7,248,0.80,1K,28,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 25
cosy t03 cadeira,C,1,8,248,0.80,1K,27,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 21
perfs e5,I,1,5,248,0.80,1K,27,sensetup.com.br/products/cadeira-presidente-ergonomica-perfs-e5,Aug 02
mesa regulagem de altura,CI,3,8,243,0.78,8.1K,18,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Sep 15
cadeira escritório,C,,7,217,0.70,18.1K,24,sensetup.com.br/blogs/artigos/melhores-cadeiras-ergonomicas,Sep 13
sensetup soldis a08,I,1,5,208,0.67,260,29,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 13
sensetup souldis a08,IT,1,7,208,0.67,260,30,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 14
a08 sensetup,IT,1,7,208,0.67,260,18,sensetup.com.br/products/cadeira-ergonomica-a08-premium,4 days
cosy t03,CI,4,8,198,0.64,6.6K,32,sensetup.com.br/products/cadeira-ergonomica-cosy-t03-open-box,2 days
cadeira cosyt03,C,1,7,178,0.57,720,31,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 20
mesa eletrica,C,3,8,156,0.50,2.4K,24,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Aug 21
ergonômica,I,,6,152,0.49,4.4K,27,sensetup.com.br/collections/cadeiras-ergonomicas,3 days
cadeira a08,C,1,9,146,0.47,590,25,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 14
cadeira de escritório ergonômica sensetup cosy t03 mesh,IT,1,6,136,0.44,170,19,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 10
sensetup cadeira,CN,1,7,136,0.44,170,28,sensetup.com.br/,Aug 13
mesa de altura regulável,I,3,8,126,0.40,3.6K,17,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Sep 13
soudis a08,I,1,5,119,0.38,480,28,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Sep 14
cozy t03:,I,1,6,119,0.38,480,34,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 25
libernovo omni,I,1,3,119,0.38,480,23,sensetup.com.br/products/cadeira-ergonomica-libernovo-omni-dynamic,Sep 13
suporte monitor de mesa,I,,7,118,0.38,3.6K,29,sensetup.com.br/products/suporte-monitor-de-mesa-imon-rgb-portas-usb-e-gavetas,2 days
cadeira ergonomica,CI,,7,114,0.36,110K,32,sensetup.com.br/collections/cadeiras-ergonomicas,Sep 14
cadeiras sensetup,CN,1,6,112,0.36,140,35,sensetup.com.br/,4 days
cosy t03 sensetup,I,1,6,112,0.36,140,32,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 14
sensetup a08 premium,CI,1,6,112,0.36,140,20,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Aug 28
cadeira a08 sensetup,IT,1,8,112,0.36,140,20,sensetup.com.br/products/cadeira-ergonomica-a08-premium,Aug 20
sensetup celentia a161,IT,1,7,112,0.36,140,21,sensetup.com.br/products/cadeira-ergonomica-a161-openbox,Sep 14
cadeira ortopédica,C,3,7,108,0.35,3.6K,15,sensetup.com.br/collections/cadeiras-ergonomicas,Aug 19
mesa regulagem altura,I,3,6,106,0.34,1.3K,17,sensetup.com.br/collections/mesas-com-regulagem-de-altura,Aug 22
almofada para cadeira de escritório,I,2,8,104,0.33,1.6K,23,sensetup.com.br/products/almofada-cadeira-gamer,Aug 22
cadeira ergonômica cosy t03,C,1,5,96,0.31,390,30,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Sep 06
libernovo,IT,1,7,96,0.31,390,25,sensetup.com.br/products/cadeira-ergonomica-libernovo-omni-dynamic,Sep 13
cadeira ergonômica de escritório cosy t03,C,1,8,96,0.31,390,25,sensetup.com.br/products/cadeira-ergonomica-cosy-t03,Aug 10
