Select all keywords,Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (BRL),Com.,SF,Results,Updated
cadeira gamer,cadeira gamer​,C,55,0,"246,000",,n/a,n/a,44,0.57,1.00,6,199,1 month
cadeira de escritorio,cadeira de escritorio​,C,68,0,"201,000",,n/a,n/a,29,1.19,1.00,7,200,1 month
mesa 4 cadeiras,mesa 4 cadeiras​,I,65,0,"165,000",,n/a,n/a,22,0.47,1.00,6,194,1 month
escrivaninha,escrivaninha​,I,60,0,"135,000",,n/a,n/a,24,0.52,1.00,8,196,1 month
cadeira ergonomica,cadeira ergonomica​,C,56,0,"110,000",,n/a,n/a,32,0.98,1.00,8,189,1 month
cadeira escritorio,cadeira escritorio​,C,70,0,"110,000",,n/a,n/a,30,1.61,1.00,7,200,1 month
mesa de jantar,mesa de jantar​,IT,57,0,"90,500",,n/a,n/a,28,0.57,1.00,6,195,1 month
mesa de escritorio,mesa de escritorio​,IT,88,0,"74,000",,n/a,n/a,31,0.88,1.00,7,190,1 month
mesa 6 cadeiras,mesa 6 cadeiras​,I,63,0,"60,500",,n/a,n/a,21,0.52,1.00,7,194,1 month
mesa com 4 cadeiras,mesa com 4 cadeiras​,I,67,0,"49,500",,n/a,n/a,24,0.36,1.00,8,199,1 month
mesa escritorio,mesa escritorio​,C,85,0,"49,500",,n/a,n/a,23,0.98,1.00,6,197,1 month
mesa gamer,mesa gamer​,C,60,0,"49,500",,n/a,n/a,26,0.41,1.00,6,195,1 month
escrivaninha para quarto,escrivaninha para quarto​,I,62,0,"40,500",,n/a,n/a,34,0.36,1.00,6,195,1 month
escritorio,escritorio​,IC,74,0,"33,100",,n/a,n/a,24,2.13,0.44,7,131,1 month
cadeira de escritório,cadeira de escritório​,C,68,0,"27,100",,n/a,n/a,27,1.50,1.00,6,199,1 month
mesa de jantar 6 lugares,mesa de jantar 6 lugares​,I,59,0,"27,100",,n/a,n/a,16,0.57,1.00,8,198,1 month
mesa industrial,mesa industrial​,C,57,0,"27,100",,n/a,n/a,17,0.57,1.00,7,216,1 month
cadeira presidente,cadeira presidente​,C,59,0,"22,200",,n/a,n/a,12,1.14,1.00,8,190,1 month
escritório,escritório​,C,70,0,"22,200",,n/a,n/a,43,2.44,0.45,8,200,1 month
mesa de computador,mesa de computador​,I,70,0,"22,200",,n/a,n/a,32,0.36,1.00,7,198,1 month
mesa de jantar com 4 cadeiras,mesa de jantar com 4 cadeiras​,I,62,0,"22,200",,n/a,n/a,15,0.47,1.00,7,200,1 month
mesa em l,mesa em l​,C,67,0,"22,200",,n/a,n/a,24,0.62,1.00,7,197,1 month
cadeira de escritorio ergonomica,cadeira de escritorio ergonomica​,C,65,0,"18,100",,n/a,n/a,27,1.71,1.00,7,191,1 month
cadeira escritório,cadeira escritório​,C,69,0,"18,100",,n/a,n/a,24,1.66,1.00,6,194,1 month
cadeira para escritorio,cadeira para escritorio​,C,73,0,"18,100",,n/a,n/a,32,1.30,1.00,7,199,1 month
escrivaninha com gavetas,escrivaninha com gavetas​,I,64,0,"18,100",,n/a,n/a,26,0.52,1.00,8,200,1 month
mesa com 6 cadeiras,mesa com 6 cadeiras​,I,64,0,"18,100",,n/a,n/a,21,0.47,1.00,7,189,1 month
mesa de jantar 4 lugares,mesa de jantar 4 lugares​,I,66,0,"18,100",,n/a,n/a,21,0.57,1.00,8,193,1 month
mesa para computador,mesa para computador​,C,70,0,"18,100",,n/a,n/a,27,0.41,1.00,6,196,1 month
mesa para escritorio,mesa para escritorio​,C,85,0,"18,100",,n/a,n/a,19,0.93,1.00,6,202,1 month
mesa 4 lugares,mesa 4 lugares​,IC,63,0,"14,800",,n/a,n/a,29,0.62,1.00,5,129,1 month
mesa 6 lugares,mesa 6 lugares​,I,60,0,"14,800",,n/a,n/a,16,0.62,1.00,5,193,1 month
mesa computador,mesa computador​,I,70,0,"14,800",,n/a,n/a,23,0.47,1.00,5,194,1 month
mesa de jantar 4 cadeiras,mesa de jantar 4 cadeiras​,I,69,0,"14,800",,n/a,n/a,17,0.47,1.00,7,194,1 month
penteadeira escrivaninha,penteadeira escrivaninha​,IC,62,0,"14,800",,n/a,n/a,27,0.36,1.00,6,217,1 month
cadeira ergonomica escritório,cadeira ergonomica escritório​,C,63,0,"12,100",,n/a,n/a,32,1.55,1.00,7,191,1 month
cadeira escritório ergonômica,cadeira escritório ergonômica​,C,62,0,"12,100",,n/a,n/a,24,1.55,1.00,6,194,1 month
cadeira gamer barata,cadeira gamer barata​,C,57,0,"12,100",,n/a,n/a,41,0.31,1.00,6,192,1 month
escrivaninha em l,escrivaninha em l​,I,62,0,"12,100",,n/a,n/a,25,0.57,1.00,6,224,1 month
jogo de mesa com 4 cadeiras,jogo de mesa com 4 cadeiras​,I,64,0,"12,100",,n/a,n/a,18,0.41,1.00,6,194,1 month
mesa de escritório,mesa de escritório​,C,89,0,"12,100",,n/a,n/a,27,0.83,1.00,7,196,1 month
mesa de jantar com 6 cadeiras,mesa de jantar com 6 cadeiras​,I,59,0,"12,100",,n/a,n/a,18,0.57,1.00,8,196,1 month
